episode,timestamp,eps,alphaCap,total_reward,win,steps,episode_duration_s,q_max,q_mean
54,2026-05-12T21:04:15.838,0.585150,0.000999,-1.600000,0,1,3.168,1.735296,0.030019
55,2026-05-12T21:04:18.968,0.584875,0.000999,-1.600000,0,1,3.091,1.735296,0.030019
56,2026-05-12T21:04:22.150,0.584600,0.000999,-1.600000,0,1,3.142,1.735296,0.030019
57,2026-05-12T21:04:25.309,0.584325,0.000998,-1.600000,0,1,3.118,1.735296,0.030019
58,2026-05-12T21:04:28.469,0.584050,0.000998,-1.600000,0,1,3.115,1.735296,0.030019
59,2026-05-12T21:04:31.603,0.583775,0.000998,-1.600000,0,1,3.095,1.735296,0.030019
60,2026-05-12T21:04:34.804,0.583500,0.000998,-1.600000,0,1,3.158,1.735296,0.030019
61,2026-05-12T21:04:39.121,0.583225,0.000998,-1.600000,0,1,4.273,1.735296,0.030019
62,2026-05-12T21:04:42.415,0.582950,0.000998,-1.600000,0,1,3.220,1.735296,0.030019
63,2026-05-12T21:04:45.533,0.582675,0.000998,-1.600000,0,1,3.069,1.735296,0.030019
64,2026-05-12T21:04:48.471,0.582400,0.000998,-1.600000,0,1,2.884,1.735296,0.030019
65,2026-05-12T21:04:51.584,0.582125,0.000998,-1.600000,0,1,3.064,1.735296,0.030019
66,2026-05-12T21:04:54.493,0.581850,0.000998,-2.000000,0,1,2.866,1.735296,0.030019
67,2026-05-12T21:04:57.471,0.581575,0.000998,-1.600000,0,1,2.937,1.735296,0.030019
68,2026-05-12T21:05:00.478,0.581300,0.000998,-2.000000,0,1,2.961,1.735296,0.030019
69,2026-05-12T21:05:03.634,0.581025,0.000998,-1.500000,0,1,3.114,1.735296,0.030019
70,2026-05-12T21:05:06.863,0.580750,0.000998,-1.600000,0,1,3.190,1.735296,0.030019
71,2026-05-12T21:05:09.834,0.580475,0.000998,-1.600000,0,1,2.917,1.735296,0.030019
72,2026-05-12T21:05:13.168,0.580200,0.000998,-1.600000,0,1,3.140,1.735296,0.030019
73,2026-05-12T21:05:16.108,0.579925,0.000998,-1.600000,0,1,2.892,1.735296,0.030019
74,2026-05-12T21:05:19.275,0.579650,0.000998,-1.600000,0,1,3.109,1.735296,0.030019
75,2026-05-12T21:05:22.492,0.579375,0.000998,-1.600000,0,1,3.173,1.735296,0.030019
76,2026-05-12T21:05:25.607,0.579100,0.000998,-1.600000,0,1,3.070,1.735296,0.030019
77,2026-05-12T21:05:28.572,0.578825,0.000998,-1.600000,0,1,2.920,1.735296,0.030019
78,2026-05-12T21:05:31.580,0.578550,0.000998,-1.600000,0,1,2.965,1.735296,0.030019
79,2026-05-12T21:05:34.714,0.578275,0.000998,-1.600000,0,1,3.089,1.735296,0.030019
80,2026-05-12T21:05:37.674,0.578000,0.000998,-1.600000,0,1,2.918,1.735296,0.030019
81,2026-05-12T21:05:40.795,0.577725,0.000998,-1.600000,0,1,3.071,1.735296,0.030019
82,2026-05-12T21:05:43.863,0.577450,0.000998,-1.600000,0,1,3.020,1.735296,0.030019
83,2026-05-12T21:05:47.108,0.577175,0.000998,-1.600000,0,1,3.190,1.735296,0.030019
84,2026-05-12T21:05:50.261,0.576900,0.000998,-1.600000,0,1,3.103,1.735296,0.030019
85,2026-05-12T21:05:53.171,0.576625,0.000998,-1.600000,0,1,2.869,1.735296,0.030019
86,2026-05-12T21:05:56.302,0.576350,0.000998,-1.600000,0,1,3.084,1.735296,0.030019
87,2026-05-12T21:05:59.439,0.576075,0.000998,-1.600000,0,1,3.086,1.735296,0.030019
88,2026-05-12T21:06:02.403,0.575800,0.000998,-1.600000,0,1,2.912,1.735296,0.030019
89,2026-05-12T21:06:05.388,0.575525,0.000998,-1.600000,0,1,2.950,1.735296,0.030019
90,2026-05-12T21:06:08.487,0.575250,0.000998,-1.600000,0,1,3.057,1.735296,0.030019
91,2026-05-12T21:06:11.623,0.574975,0.000998,-1.600000,0,1,3.087,1.735296,0.030019
92,2026-05-12T21:06:14.827,0.574700,0.000998,-1.600000,0,1,3.155,1.735296,0.030019
93,2026-05-12T21:06:17.722,0.574425,0.000998,-1.600000,0,1,2.850,1.735296,0.030019
94,2026-05-12T21:06:20.854,0.574150,0.000997,-1.600000,0,1,3.084,1.735296,0.030019
95,2026-05-12T21:06:23.986,0.573875,0.000997,-2.000000,0,1,3.087,1.735296,0.030019
96,2026-05-12T21:06:26.937,0.573600,0.000997,-1.600000,0,1,2.898,1.735296,0.030019
97,2026-05-12T21:06:30.049,0.573325,0.000997,-1.600000,0,1,3.072,1.735296,0.030019
