episode,timestamp,eps,alphaCap,total_reward,win,steps,episode_duration_s,q_max,q_mean
31,2026-05-12T20:49:38.504,0.798450,0.000500,37.599998,0,9,6.814,3.923803,-0.028451
32,2026-05-12T20:49:45.128,0.798400,0.000500,37.599998,0,9,6.561,3.923803,-0.028451
33,2026-05-12T20:49:51.943,0.798350,0.000500,37.599998,0,9,6.751,3.923803,-0.028451
34,2026-05-12T20:49:59.511,0.798300,0.000500,37.200001,0,9,7.508,3.923803,-0.028451
35,2026-05-12T20:50:06.361,0.798250,0.000500,37.599998,0,9,6.791,3.923803,-0.028451
36,2026-05-12T20:50:13.270,0.798200,0.000500,37.599998,0,9,6.845,3.923803,-0.028451
37,2026-05-12T20:50:20.591,0.798150,0.000500,37.599998,0,9,7.252,3.923803,-0.028451
38,2026-05-12T20:50:27.537,0.798100,0.000500,37.599998,0,9,6.882,3.923803,-0.028451
39,2026-05-12T20:50:34.163,0.798050,0.000500,37.599998,0,9,6.559,3.923803,-0.028451
40,2026-05-12T20:50:40.843,0.798000,0.000500,37.599998,0,9,6.615,3.923803,-0.028451
41,2026-05-12T20:50:47.689,0.797950,0.000500,37.599998,0,9,6.780,3.923803,-0.028451
42,2026-05-12T20:50:54.602,0.797900,0.000500,37.599998,0,9,6.843,3.923803,-0.028451
43,2026-05-12T20:51:01.403,0.797850,0.000500,37.599998,0,9,6.739,3.923803,-0.028451
44,2026-05-12T20:51:08.033,0.797800,0.000500,37.599998,0,9,6.573,3.923803,-0.028451
45,2026-05-12T20:51:14.953,0.797750,0.000500,37.599998,0,9,6.856,3.923803,-0.028451
46,2026-05-12T20:51:21.804,0.797700,0.000500,37.599998,0,9,6.785,3.923803,-0.028451
47,2026-05-12T20:51:28.480,0.797650,0.000500,37.599998,0,9,6.619,3.923803,-0.028451
48,2026-05-12T20:51:35.427,0.797600,0.000500,37.599998,0,9,6.879,3.923803,-0.028451
49,2026-05-12T20:51:42.033,0.797550,0.000500,37.599998,0,9,6.548,3.923803,-0.028451
50,2026-05-12T20:51:48.783,0.797500,0.000500,37.599998,0,9,6.682,3.923803,-0.028451
51,2026-05-12T20:51:55.451,0.797450,0.000500,37.599998,0,9,6.601,3.923803,-0.028451
52,2026-05-12T20:52:02.048,0.797400,0.000500,37.599998,0,9,6.529,3.923803,-0.028451
53,2026-05-12T20:52:08.908,0.797350,0.000500,37.599998,0,9,6.800,3.923803,-0.028451
54,2026-05-12T20:52:16.366,0.797300,0.000500,37.200001,0,9,7.392,3.923803,-0.028451
55,2026-05-12T20:52:23.036,0.797250,0.000500,37.599998,0,9,6.603,3.923803,-0.028451
56,2026-05-12T20:52:29.699,0.797200,0.000500,37.599998,0,9,6.602,3.923803,-0.028451
57,2026-05-12T20:52:36.318,0.797150,0.000500,37.599998,0,9,6.559,3.923803,-0.028451
58,2026-05-12T20:52:42.966,0.797100,0.000500,37.599998,0,9,6.580,3.923803,-0.028451
59,2026-05-12T20:52:49.557,0.797050,0.000500,37.599998,0,9,6.519,3.923803,-0.028451
60,2026-05-12T20:52:56.385,0.797000,0.000500,37.599998,0,9,6.774,3.923803,-0.028451
61,2026-05-12T20:53:03.163,0.796950,0.000500,37.599998,0,9,6.721,3.923803,-0.028451
62,2026-05-12T20:53:10.134,0.796900,0.000500,37.599998,0,9,6.918,3.923803,-0.028451
63,2026-05-12T20:53:17.602,0.796850,0.000500,37.200001,0,9,7.413,3.923803,-0.028451
64,2026-05-12T20:53:24.476,0.796800,0.000500,37.599998,0,9,6.819,3.923803,-0.028451
65,2026-05-12T20:53:31.101,0.796750,0.000500,37.599998,0,9,6.566,3.923803,-0.028451
0,2026-05-16T03:06:58.686,0.800000,0.000500,-1.500000,0,1,2.998,1.489268,-0.012258
1,2026-05-16T03:07:01.854,0.799950,0.000500,-1.600000,0,1,3.095,1.489268,-0.012258
2,2026-05-16T03:07:05.002,0.799900,0.000500,-1.600000,0,1,3.082,1.489268,-0.012258
3,2026-05-16T03:07:08.400,0.799850,0.000500,-1.600000,0,1,3.329,1.489268,-0.012258
4,2026-05-16T03:07:11.572,0.799800,0.000500,-1.600000,0,1,3.104,1.489268,-0.012258
5,2026-05-16T03:07:14.597,0.799750,0.000500,-1.600000,0,1,2.972,1.489268,-0.012258
6,2026-05-16T03:07:17.769,0.799700,0.000500,-2.000000,0,1,3.098,1.489268,-0.012258
7,2026-05-16T03:07:20.931,0.799650,0.000500,-1.600000,0,1,3.093,1.489268,-0.012258
8,2026-05-16T03:07:24.079,0.799600,0.000500,-1.600000,0,1,3.084,1.489268,-0.012258
9,2026-05-16T03:07:27.335,0.799550,0.000500,-1.600000,0,1,3.194,1.489268,-0.012258
10,2026-05-16T03:07:30.488,0.799500,0.000500,-1.600000,0,1,3.091,1.489268,-0.012258
11,2026-05-16T03:07:33.647,0.799450,0.000500,-1.600000,0,1,3.093,1.489268,-0.012258
12,2026-05-16T03:07:36.848,0.799400,0.000500,-2.000000,0,1,3.135,1.489268,-0.012258
13,2026-05-16T03:07:40.085,0.799350,0.000500,-1.600000,0,1,3.171,1.489268,-0.012258
14,2026-05-16T03:07:43.250,0.799300,0.000500,-1.600000,0,1,3.097,1.489268,-0.012258
15,2026-05-16T03:07:46.623,0.799250,0.000500,-1.600000,0,1,3.300,1.489268,-0.012258
16,2026-05-16T03:07:49.778,0.799200,0.000500,-1.600000,0,1,3.087,1.489268,-0.012258
17,2026-05-16T03:07:53.027,0.799150,0.000500,-1.600000,0,1,3.193,1.489268,-0.012258
18,2026-05-16T03:07:56.274,0.799100,0.000500,-1.600000,0,1,3.184,1.489268,-0.012258
19,2026-05-16T03:07:59.512,0.799050,0.000500,-1.600000,0,1,3.161,1.489268,-0.012258
20,2026-05-16T03:08:02.617,0.799000,0.000500,-1.600000,0,1,3.047,1.489268,-0.012258
21,2026-05-16T03:08:05.783,0.798950,0.000500,-2.000000,0,1,3.102,1.489268,-0.012258
22,2026-05-16T03:08:08.952,0.798900,0.000500,-2.000000,0,1,3.104,1.489268,-0.012258
23,2026-05-16T03:08:11.967,0.798850,0.000500,-1.600000,0,1,2.958,1.489268,-0.012258
24,2026-05-16T03:08:15.240,0.798800,0.000500,-1.500000,0,1,3.198,1.489268,-0.012258
25,2026-05-16T03:08:18.485,0.798750,0.000500,-1.600000,0,1,3.170,1.489268,-0.012258
26,2026-05-16T03:08:21.634,0.798700,0.000500,-1.600000,0,1,3.076,1.489268,-0.012258
27,2026-05-16T03:08:24.801,0.798650,0.000500,-1.600000,0,1,3.097,1.489268,-0.012258
28,2026-05-16T03:08:27.781,0.798600,0.000500,-1.600000,0,1,2.906,1.489268,-0.012258
29,2026-05-16T03:08:31.002,0.798550,0.000500,-1.600000,0,1,3.160,1.489268,-0.012258
30,2026-05-16T03:08:34.166,0.798500,0.000500,-1.600000,0,1,3.089,1.489268,-0.012258
31,2026-05-16T03:08:37.332,0.798450,0.000500,-1.600000,0,1,3.096,1.489268,-0.012258
32,2026-05-16T03:08:40.485,0.798400,0.000500,-1.600000,0,1,3.088,1.489268,-0.012258
33,2026-05-16T03:08:43.646,0.798350,0.000500,-1.600000,0,1,3.080,1.489268,-0.012258
34,2026-05-16T03:08:46.669,0.798300,0.000500,-2.000000,0,1,2.968,1.489268,-0.012258
35,2026-05-16T03:08:49.813,0.798250,0.000500,-1.600000,0,1,3.072,1.489268,-0.012258
36,2026-05-16T03:08:52.995,0.798200,0.000500,-1.600000,0,1,3.129,1.489268,-0.012258
37,2026-05-16T03:08:56.150,0.798150,0.000500,-2.000000,0,1,3.096,1.489268,-0.012258
38,2026-05-16T03:08:59.364,0.798100,0.000500,-1.600000,0,1,3.152,1.489268,-0.012258
39,2026-05-16T03:09:02.564,0.798050,0.000500,-1.600000,0,1,3.137,1.489268,-0.012258
40,2026-05-16T03:09:05.563,0.798000,0.000500,-2.000000,0,1,2.944,1.489268,-0.012258
41,2026-05-16T03:09:08.716,0.797950,0.000500,-1.600000,0,1,3.090,1.489268,-0.012258
42,2026-05-16T03:09:11.948,0.797900,0.000500,-1.600000,0,1,3.174,1.489268,-0.012258
43,2026-05-16T03:09:15.085,0.797850,0.000500,-1.600000,0,1,3.077,1.489268,-0.012258
44,2026-05-16T03:09:18.319,0.797800,0.000500,-1.600000,0,1,3.166,1.489268,-0.012258
45,2026-05-16T03:09:21.484,0.797750,0.000500,-1.600000,0,1,3.100,1.489268,-0.012258
46,2026-05-16T03:09:24.634,0.797700,0.000500,-2.000000,0,1,3.074,1.489268,-0.012258
47,2026-05-16T03:09:28.032,0.797650,0.000500,-1.600000,0,1,3.332,1.489268,-0.012258
48,2026-05-16T03:09:31.165,0.797600,0.000500,-1.600000,0,1,3.050,1.489268,-0.012258
49,2026-05-16T03:09:34.312,0.797550,0.000500,-2.000000,0,1,3.089,1.489268,-0.012258
